,,Spelling Error Legend:,Needs !? or .,Double blanks,Double blank?,"and and, the the"
tutorial_surveillance_build_radar,"Наблюдательный Пункт позволяет использовать <color=#000C3A><u>РАДАРЫ</u></color>. <br><br>Радары,когда они выбраны, излучают импульс в шахту, выявляя точки интереса. <br><br><color=#148aba>Подсказка:<br>Если стратегически правильно расставить радары по шахте, можно получить подсказки о том, где нужно исследовать.</color>",680,,,,
tutorial_checklist_surveillance,Постройте {0} ,,,,,
tutorial_checklist_build_radar,Постройте {0},,,,,
tutorial_armory_info,"<color=#000C3A><u>ЗЕМЛЯННОЙ ЧЕРВЬ</u></color>! Если ничего не сделать, он съест всех наших шахтеров! <br><br>К счастью, у нас есть решение. Оружейный склад предоставляет доступ к созданию оборонительных мер. <br><br><color=#148aba>Подсказка:<br>Если вам нужно больше вместимости для оружейного склада, увеличьте размер помещения.</color>",680,,,,
tutorial_checklist_armory,Постройте {0},,,,,
tutorial_thumper_build,"<color=#000C3A><u>ТОПОТУН</u></color> отпугивает Земляных Червей! <br><br>Разместите Топтуна так, чтобы землянной червь находился в пределах досягаемости машины. Если переместить или уничтожить Топтуна, все наземные черви, которых он сдерживал, появятся снова. <br><br><color=#148aba>Подсказка:<br>Топтун также замедляет всех врагов, находящихся в зоне его действия!</color>",680,,,,
tutorial_checklist_build_thumper,Постройте {0},,,,,
tutorial_plastishroom_info,"Мы получили доступ к новому типу Фермы. <color=#000C3A><u>Ферма Пластигриба</u></color>! <br><br>Она функционирует как перерабатывающий завод, но её должны обрабатывать наши Исследователи. <br><br><color=#148aba>Подсказка:<br>Фермы Пластигриба можно строить только в определенных участках Шахты, являющихся Плодородной почвой.</color>",680,,,,
tutorial_checklist_plastishroom,Постройте {0} ,,,,,
tutorial_jetshroom_info,"Это была последняя Деталь Ракеты! <br><br> Теперь нам необходимо произвести <color=#000C3A><u>РАКЕТНОЕ ТОПЛИВО</u></color>, чтобы Ракета взмыла вверх. <br><br><color=#000C3A><u>ФЕРМА ТОПЛИГРИБА</u></color> предоставит, то что нам нужно. <br><br><color=#148aba>Подсказка:<br>Ферма Топлигриба может быть построена только в определенных участках Шахты, являющихся Плодородной Почвой и должна обслуживаться  Исследователями.</color>",680,,,,
tutorial_checklist_jetshroom,Постройте {0} ,,,,,
tutorial_guard_quarter_info,"<color=#000C3A><u>Гвардейцы</u></color> защищают нашу деятельность в Шахте. <br><br>Гвардейцы будут уведомлены, если мы встретим врагов, и бросятся их побеждать. <br><br><color=#148aba>Подсказка: <br>Гвардейцы могут получить новое снаряжение, поместив его в их станцию с помощью инструмента предметов!</color>",680,,,,
tutorial_checklist_guard_quarter,Постройте {0} ,,,,,
tutorial_checklist_miner_quarter,Постройте {0} ,,,,,
tutorial_checklist_prospector_quarter,Постройте {0} ,,,,,
tutorial_checklist_mechanic_quarter,Постройте {0} ,,,,,
tutorial_mine_layer_2_info,"Вы достигли второго этажа шахты! Пора формировать новый опорный пункт. <br><br>Мы также должны подготовить несколько гвардейцев, которые обеспечат нам безопасность в случае, если мы столкнемся с какой-либо угрозой. <br><br><color=#148aba>Подсказка:<br> Станции, объекты и шахтеры не переносятся между этажами. Вам нужно будет создавать новый опорный пункт на каждом новом этаже шахты.</color>",680,,,,
tutorial_secondary_mineshaft_found,"Мы обнаружили заброшенную Штольню, которая спустит нас ещё глубже в Шахту! <br><br>Чтобы получить доступ к следующему этажу, необходимо отремонтировать штольню. <br><br>В глубине шахты можно найти уникальные ресурсы и новые детали ракеты. <br><br><color=#148aba>Подсказка:<br>Нажмите <color=#000C3A><u>3</u></color>, чтобы спуститься на этаж ниже.</color>",680,,,,
tutorial_secondary_mineshaft_found_consoles,"Мы обнаружили заброшенную Штольню, которая доставит нас ещё ниже в Шахту! Чтобы получить доступ к следующему этажу, необходимо отремонтировать штольню. <br><br>После восстановления второй Штольни мы сможем отправиться ещё глубже в Шахту. В глубине шахты можно найти уникальные ресурсы и новые детали ракеты. <br><br><color=#148aba>Подсказка:<br>Зажмите {HotkeyRightBump} + {HotkeyDPadDown}, чтобы спуститься глубже.</color>",680,,,,
tutorial_checklist_repair_secondary_mineshaft,"Отремонтируйте шахту, чтобы достичь уровня 2",,,,,
tutorial_steam_furnace_info,"<color=#000C3A><u>ПАРОВАЯ ПЕЧЬ</u></color> теперь доступна!<br><br>Паровая Печь повышает эффективность ваших перерабытывающих заводов, если разместить ее поблизости.<br><br><color=#148aba>Подсказка:<br> При размещении паровой печи вы увидите индикатор над зданиями, на которые она будет влиять.</color>",680,,,,
tutorial_xbox_selection_info,Нажмите X для переключения между панелью инструментов и выбором мира.,680,,,,
tutorial_playstation_selection_info,Нажмите КВАДРАТ для переключения между панелью инструментов и выбором мира.,680,,,,
tutorial_hint_forester,"Лесоповал производит Бревна, которые могут быть превращены в различные Ресурсы, такие как Доски и Древесный уголь, используя другие здания.",,,,,
tutorial_hint_forester_misplaced,"Переместите Лесоповал ближе к деревьям. Чем выше процент производительности, тем лучше.",,,,,
tutorial_hint_forester_no_mill,Пилорама необходим Лесоповал для производства Досок,,,,,
tutorial_hint_forester_placement,"Этот Лесоповал имеет низкую Производительность. Переместите его в место где больше Деревьев, чтобы увеличить его продуктивность.",,,,,
tutorial_hint_mill_first_time_placed,"Пилорама использует Бревна, производенные Лесоповалом, и превращает их в Доски. Доски - это строительный материал, используемый для возведения большинства зданий.",,,,,
tutorial_hint_charcoal_kiln_first_time_placed,"Углевыжигательная печь использует Бревна, произведенные Леспоповалом, и превращает их в Древесный Уголь. Древесный уголь - ресурс, необходимый нашим рабочим.",,,,,
tutorial_hint_blueprint_cannot_afford,"Для этого здания не хватает строительных материалов. <br>Вместо этого вы можете разметить место строительства по чертежу. <br>Когда появятся необходимые ресурсы, здание будет построено.",,,,,
tutorial_hint_warehouse_first_time,"Доставщики переносят ресурсы между Складами и Заводами. Используйте Склады, чтобы сократить маршрут доставщиков.",,,,,
tutorial_hint_warehouse_outside_range,"Это здание находится вне зоны действия Склада и поэтому не может поставлять товары потребителям.",,,,,
tutorial_hint_marketplace,"Магазин является служебным зданием, предоставляющим свои услуги всем жилым зданиям, расположенным поблизости.",,,,,
tutorial_hint_marketplace_needs_for_workers,Пойстройте здание удовлетворяющие Потребности Рабочих,,,,,
tutorial_hint_farm_fields,"Вам нужно построить поля, чтобы ваши фермы могли производить свою продукцию. Выберите ферму и нажмите кнопку Разместить поля.",,,,,
tutorial_hint_income,Ваш доход также увеличится. Деньги используются для строительства и оплаты обслуживания ваших зданий.,,,,,
tutorial_hint_upkeep,"Число Работников растет по мере того, как вы строите Жилища и удовлетворяете их Потребности. Они нужны вам для производства ресурсов на производствах.",,,,,
tutorial_hint_admin_screen,Взгляните на все свои ресурсы через Окно Администратора.,,,,,
tutorial_hint_admin_screen_1,Окно администратора <br>Окно администратора дает вам представление обо всех доступных вам ресурсах.,,,,,
tutorial_hint_admin_screen_2,"Следите за Балансом Ресурсов. <br><br><color=#FF5F7D>Отрицательное</color> число означает, что ваш спрос выше, чем производство.",,,,,
tutorial_hint_train_item_store_1,"Окно железнодорожной станции открывает доступ к торговле и позволяет покупать предметы, повышающие продуктивность вашего города.",,,,,
tutorial_hint_train_item_store_2,Торговля <br>Здесь вы сможете увидеть свои активные сделки и установить новые торговые сделки.,,,,,
tutorial_hint_train_item_store_3,"Магазин Предметов <br>Здесь вы можете купить предметы и экипировки, которые могут улучшить ваш город и шахту. Предметы обновляются, когда поезд прибывает на станцию.",,,,,
tutorial_hint_train_trade_screen_1,"Новая Торговая Сделка <br>Выберите ресурс, который вы хотите продать.",,,,,
tutorial_hint_train_trade_screen_2,"Новая Торговая Сделка <br>Затем выберите ресурс, который вы хотите купить.",,,,,
tutorial_hint_train_trade_screen_3,"Измените сумму, на которую вы хотите Торговать.",,,,,
tutorial_hint_train_trade_screen_4,"Создайте новую Торговую сделку. Торговая сделка будет завершена, когда поезд прибудет на станцию, и будет повторяться до тех пор, пока вы не отмените ее.",,,,,
tutorial_hint_item_tool,Используйте инструмент для предметов для оснащения предметов.,,,,,
tutorial_hint_service_building_out_of_range,Магазин не находится в пределах досягаемости Жилищ. Переместите его ближе с помощью Инструмента Перемещения.,,,,,
tutorial_hint_roads,"Здание не соединено дорогой с железнодорожной станцией. Используйте инструмент Дорога, чтобы соединить его.",,,,,
tutorial_hint_camera_controls,Используйте Q и E для поворота камеры. И колесико мыши для приближения или отдаления.,,,,,
tutorial_hint_resource_needs,Каждое жилище потребляет небольшое количество каждого ресурса для удовлетворения своих потребностей.,,,,,
tutorial_hint_upgrade_citizen_tier,Это Жилище может быть улучшенно до новой категории Граждан.,,,,,
tutorial_hint_refinery_building_out_of_range,[OUTDATED],,,,,
tutorial_hint_first_need_loss,[OUTDATED],,,,,
tutorial_hint_mill,"Построив еще одну Пилораму, мы сможем ускорить производство досок.",,,,,
tutorial_hint_administration_negative_profit,Один или несколько ресурсов имеют <color=#FF5F7D>ОТРИЦАТЕЛЬНОЕ ЗНАЧЕНИЕ</color>.<br>Проверьте окно администрации чтобы узнать больше.,,,,,
tutorial_hint_administration_reminder,Не забывайте следить за балансом ресурсов в окне администрации.,,,,,
tutorial_hint_negative_income,"Вы <color=#FF5F7D>теряете деньги</color>. Постройте больше жилищ или удовлетворите больше потребностей, чтобы повернуть экономику вспять. Вы также можете обменять часть избыточных ресурсов на деньги на железнодорожной станции.",,,,,
tutorial_hint_gold,Золотые самородки можно найти в шахте. Они необходимы для строительства Шахтерских Станций.,,,,,
tutorial_hint_money,"Это ваши деньги, цифра ниже - ваш доход. Деньги зарабатываются на налогах жилищ.",,,,,
tutorial_hint_rubies,"Рубины можно найти в шахте, на них можно купить предметы и экипировку на железнодорожной станции",,,,,
tutorial_hint_tools,Инструменты можно найти в шахте и произвести в городе. Они необходимы для строительства более совершенных зданий.,,,,,
tutorial_hint_train_station,"На железнодорожной станции можно заключать торговые сделки на ресурсы, которые могут быть в дефиците.",,,,,
tutorial_hint_number_rocket_pieces,"На каждом этаже шахты есть две части ракеты. Убедитесь, что вы нашли их все.",,,,,
tutorial_hint_quarter_size,"Чтобы получить больше шахтеров, увеличьте размер шахтерской станции.",,,,,
tutorial_hint_prospector_quarter_size,"Увеличив размер станции Исследователей, мы можем набрать больше Исследователей, что сократит время, необходимое для сбора Ресурсов.",,,,,
tutorial_hint_citizen_balance,"В разделе Население выше вы можете увидеть баланс граждан. Отрицательное число означает, что у нас недостаточно Стимботов на предприятиях, и они будут работать медленнее.",,,,,
tutorial_hint_speed_vent,"Разместите скоростные вентиляционные отверстия в местах, где, как вы знаете, будут ходить ваши шахтеры, чтобы дать им хороший прирост скорости.",,,,,
tutorial_hint_conveyor,Конвейерные ленты могут быть построены между добытчиками и шахтой для автоматизации доставки ресурсов.,,,,,
tutorial_hint_teleporter,"Установите телепорты, чтобы перемещение по шахте было почти мгновенным. Телепорты строятся парами.",,,,,
tutorial_next_steps_info,"Мы должны заполучить <color=#000C3A><u>ЖЕЛЕЗО</u></color> следующим! <br><br>Нам нужно обновить наши инструменты для копания, построив <color=#000C3A><u>ИЗГОТОВИТЕЛЬ КИРОК</u></color> в Городе. <br><br>Кирки также позволят нам начать охоту за Древней Техникой! <br><br><color=#148aba>Подсказка:<br>При помощи Кирки вы сможете копать песчаник.</color>",680,,,,
tutorial_checklist_pickaxe_maker,{0}/{1} Постройте Изготовитель Кирок,,,,,
tutorial_checklist_sheet_metal_factory,{0}/{1} Постройте Завод Листового Металла,,,,,
tutorial_sheet_metal_factory_info,С нашим только что приобретенным Железом мы должны построить <color=#000C3A><u>ЗАВОД ЛИСТОВОГО МЕТПЛЛА</u></color>.<br><br><color=#000C3A><u>ЛИСТОВОЙ МЕТАЛЛ</u></color> понадобится для множества зданий в дальнейшем.,,,,,
tutorial_hint_paved_road,"Вы получили новый тип Дороги. С её помощью зона обслуживания Складов и Обслуживающих Зданий станет больше, а также увеличиться скорость ваших Доставщиков.",,,,,
tutorial_hint_bridges,"Теперь у нас есть доступ к мостам! Разместив мост, мы сможем перемещаться через ямы.",,,,,
tutorial_hint_mushroom,"Чтобы остановить распространение Жути, вы должны назначить огнеметы в станциях гвардии. Гвардейцы будут сжигать Жуть, как только подберут себе новое снаряжение.",,,,,
tutorial_checklist_select_top_bar,Выберите верхнюю панель,,,,,
tutorial_checklist_select_toolbar,Выберите панель инструментов,,,,,
tutorial_checklist_gamepad_tool_build_mode,Переключитесь в режим строительства,,,,,
tutorial_checklist_gamepad_tool_world_mode,Переключение в режим выбора мира,,,,,
tutorial_console_navigation_select_top_bar_gamepad,"Начнем с того, как ориентироваться в мире. <br><br>Перемещайте камеру с помощью стиков {HotkeyLeftStick} и {HotkeyRightStick}. Увеличивайте и уменьшайте масштаб с помощью {HotkeyLeftTrigger} и {HotkeyRightTrigger}. <br><br>На панели инструментов внизу находятся инструменты, необходимые для возведения вашего города. Вы можете перемещаться по нему, нажимая {HotkeyDPadLeft} и {HotkeyDPadRight}. <br>В верхней панели вы можете увидеть информацию о вашем городе. <br><br>Для получения дополнительной информации нажмите {HotkeyDPadUp}. Опробуйте это сейчас.",680,,,,
tutorial_console_navigation_select_toolbar,"Отлично. Также как и с панелью инструментов, вы можете перемещаться по верхней панели с помощью {HotkeyDPadLeft} и {HotkeyDPadRight}, чтобы получить более подробные сведения об приведенной информации. <br><br>Чтобы вернуться к панели инструментов, нажмите {HotkeyDPadDown}. Опробуйте это сейчас.",680,,,,
tutorial_console_navigation_switch_to_world_select_gamepad,"Если вам нужно выбрать предметы в мире, вы можете переключиться в режим выбора мира. <br><br>Для этого на контроллере нажмите {HotkeyWest}.",680,,,,
tutorial_console_navigation_switch_to_build_mode_gamepad,"Здесь вы можете выбрать здания в мире, нажав {HotkeySouth}. <br><br>Но давайте вернемся в режим Строительства, нажав {HotkeyWest}, и начнем.",680,,,,
tutorial_first_enemy_info,"Мы были правы, что опасались! Здесь внизу что-то опасное! <br><br>Мы должны позаботиться о том, чтобы рядом были гвардейцы для защиты нашей деятельности! <br><br>Впереди может быть еще больше опасностей, поэтому будьте осторожны!",680,,,,
tutorial_checklist_rocket_ready_to_launch,Запустите Ракету,,,,,
tutorial_build_rocket_fuel_building,"Теперь, когда мы собираем Топлигрибы, мы должны построить завод по Переработке Ракетного Топлива, чтобы начать производство топлива. <br><br>Это позволит нам заправить ракету и сбежать, пока не стало слишком поздно! <br><br><color=#148aba>Подсказка:<br> Убедитесь, что потребности Учёных удовлетворены, чтобы мы могли получить доступ к заводу по Переработке Ракетного Топлива.</color>",680,,,,
tutorial_checklist_rocket_fuel_building,{0}/{1} Постройте завод по переработке ракетного топлива,,,,,
tutorial_launch_rocket,"Ракета заправлена и готова к запуску! Вы можете продолжать игру, если хотите, однако... <br><br>Когда вы будете готовы закончить игру, выберите Астродром и нажмите кнопку Запустить ракету!",680,,,,
tutorial_checklist_build_turrets,{0}/{1} Постройте защитные турели,,,,,
tutorial_hint_minefloor_unlocked,Вы разблокировали новый этаж шахты!,,,,,
,,,,,,
demo_citizen_block_locked_desc,Недоступно в демо,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
achievement_01_name_digging_a_hole,Digging a Hole,,,,,
achievement_01_description_digging_a_hole,Repair the Mineshaft.,,,,,
achievement_02_name_slotting_machine,Slotting Machine,,,,,
achievement_02_description_slotting_machine,Have 20 Items slotted into buildings or quarters.,,,,,
achievement_03_name_going_places,Going Places,,,,,
achievement_03_description_going_places,Excavate the first Rocket Part.,,,,,
achievement_04_name_mathematic,Mathematic,,,,,
achievement_04_description_mathematic,Reach the Engineer Citizen Tier.,,,,,
achievement_05_name_aristocratic,Aristocratic,,,,,
achievement_05_description_aristocratic,Reach the Aristobot Citizen Tier.,,,,,
achievement_06_name_systematic,Systematic,,,,,
achievement_06_description_systematic,Reach the Scientist Citizen Tier.,,,,,
achievement_07_name_dopa_miner,Dopa-Miner,,,,,
achievement_07_description_dopa_miner,Open 50 Chests across all playthroughs.,,,,,
achievement_08_name_mine_sweeper,Mine Sweeper,,,,,
achievement_08_description_mine_sweeper,Defeat 1000 Enemies across all playthroughs.,,,,,
achievement_09_name_its_yours_my_friend,"It's Yours, My Friend",,,,,
achievement_09_description_its_yours_my_friend,Buy something from the Store.,,,,,
achievement_10_name_botropolis,Botropolis,,,,,
achievement_10_description_botropolis,Have 2000 Citizens in your City.,,,,,
achievement_11_name_tutti_frutti,Tutti Frutti,,,,,
achievement_11_description_tutti_frutti,"Have Miners, Prospectors, Mechanics and Guards on the same mine floor.",,,,,
achievement_12_name_manic_mechanic,Manic Mechanic,,,,,
achievement_12_description_manic_mechanic,Build every Machine.,,,,,
achievement_13_name_conducted_trade,Conducted Trade,,,,,
achievement_13_description_conducted_trade,Complete a Trade at the Train Station.,,,,,
achievement_14_name_room_to_spare,Room To Spare,,,,,
achievement_14_description_room_to_spare,Reach a Global Storage of 150.,,,,,
achievement_15_name_whoa,Whoa!,,,,,
achievement_15_description_whoa,Teleport a Miner 100m.,,,,,
achievement_16_name_steaming_rich,Steaming Rich,,,,,
achievement_16_description_steaming_rich,Amass a fortune of 1.500.000.,,,,,
achievement_17_name_real_purdy,Real Purdy,,,,,
achievement_17_description_real_purdy,Build 100 decorations across all playthroughs.,,,,,
achievement_18_name_nothing_but_road,Nothing But Road,,,,,
achievement_18_description_nothing_but_road,Build 100km of Roads across all playthroughs.,,,,,
achievement_19_name_click_em_all,Click 'Em All,,,,,
achievement_19_description_click_em_all,Click 100 Tumbleweeds across all playthroughs.,,,,,
achievement_20_name_im_a_lumberbot,I'm A Lumberbot,,,,,
achievement_20_description_im_a_lumberbot,Chop down 50.000 trees across all playthroughs.,,,,,
achievement_21_name_accustomed_customer,Accustomed Customer,,,,,
achievement_21_description_accustomed_customer,Buy 100 Items from the Store across all playthroughs.,,,,,
achievement_22_name_up_up_and_away,"Up, Up And Away!",,,,,
achievement_22_description_up_up_and_away,Launch the Rocket.,,,,,
achievement_23_name_steam_powered,Steam Powered,,,,,
achievement_23_description_steam_powered,Have 40 Refineries boosted by Steam.,,,,,
achievement_24_name_stack_overflow,Stack Overflow,,,,,
achievement_24_description_stack_overflow,Reach a surplus of 100 citizens for all tiers.,,,,,
achievement_25_name_belting,Roll Out,,,,,
achievement_25_description_belting,Connect 5 Extractors to a single Conveyor Belt network.,,,,,
achievement_26_name_gotta_go_fast,Gotta Go Fast,,,,,
achievement_26_description_gotta_go_fast,Have a Steambot boosted by Speed Vents for 15 seconds.,,,,,
achievement_27_name_interstellar_performance,Interstellar Performance,,,,,
achievement_27_description_interstellar_performance,Launch the Rocket on Hard Difficulty.,,,,,
achievement_28_name_yup,Yup.,,,,,
achievement_28_description_yup,"Launch the Rocket without building Lightning Turrets, Grenade Turrets or Floor Traps.",,,,,
achievement_00_name_platinum,Platinum,,,,,
achievement_00_description_platinum,All Trophies unlocked.,,,,,
,,,,,,
achievement_name_set,Трофеи SteamWorld Build,,,,,
achievement_desc_set,Трофеи за игру в SteamWorld Build,,,,,
,,,,,,
ps5_activity_primary,Launch the rocket,,,,,
ps5_activity_secondary,up and away!,,,,,
,,,,,,
,,,,,,
story_conversation_intro_father_line_1,Видишь? Все эти звёзды там наверху. Вот где мы будем жить когда покинем этот мир.,,,,,
story_conversation_intro_daughter_line_1,Их так много! Какая из них?,,,,,
story_conversation_intro_father_line_2,"Какую хочешь, малыш.",,,,,
story_conversation_intro_daughter_line_2,"Как мы туда доберемся, па?",,,,,
story_conversation_intro_core_line_1,"Следуя моему плану, мой маленький друг.",,,,,
story_conversation_intro_daughter_line_3,Что ты планируешь?,,,,,
story_conversation_intro_core_line_2,Я здесь чтобы доставить вас всех в безопасное место. Это единственная цель моего существования.,,,,,
story_conversation_intro_daughter_line_4,Повезло что папа нашел тебя. Конечно приятно когда кто-то заботится о нас.,,,,,
story_conversation_intro_core_line_3,Тише.,,,,,
story_conversation_intro_daughter_line_5,Как ты нам тогда поможешь?,,,,,
story_conversation_intro_core_line_4_a,"Позвольте мне объяснить. Давным-давно здесь был зарыт огромный клад древних технологий.<br>Технология, способная делать то, что вам нужно.",,,,,
story_conversation_intro_core_line_4_b,"Зарыт глубоко, глубоко под землей. Но, как вы видите, мне не хватает возможности откопать его.",,,,,
story_conversation_intro_daughter_line_6,Мы с папой очень хорошо умеем раскапывать вещи!,,,,,
story_conversation_intro_core_line_5,Да. Боты отлично подходят для ручного труда.,,,,,
story_conversation_intro_core_line_6_a,"Но не думай, что это будет легкое путешествие, мой нетерпеливый друг.<br>Мы должны спуститься дальше, чем вы могли бы подумать.",,,,,
story_conversation_intro_core_line_6_b,"И только достигнув самого дна мира, мы найдем дорогу к звездам.",,,,,
story_conversation_intro_father_line_3,"Ну, если это будет сложно, тогда мне понадобится лучший помощник чтобы убедиться, что мы доберемся.",,,,,
story_conversation_intro_daughter_line_7,Кто это?,,,,,
story_conversation_intro_father_line_4,"Ты, конечно же!",,,,,
story_conversation_intro_daughter_line_8,Ух ты! Значит ли это что я стану таким же героем как ты?,,,,,
story_conversation_intro_father_line_5,"Герои дают людям надежду да? Ты всегда давала мне ее малыш. Должно быть ты всегда была такой.",,,,,
story_conversation_intro_daughter_line_9,*Смеётся*,,,,,
story_conversation_intro_daughter_line_10,"Смотри, папа! Я вижу, я вижу! Шахта!",,,,,
story_conversation_intro_father_line_6,"Итак, друзья! Пора приниматься за работу!",,,,,
,,,,,,
story_conversation_game_start_father_line_1,Нам придется сосредоточиться чтобы добраться до старой техники и выбраться с этой планеты.,,,,,
story_conversation_game_start_static_line_1,*Электрические помехи*,,,,,
story_conversation_game_start_daughter_line_1,Вы слышите это? Что-то шумит.,,,,,
story_conversation_game_start_father_line_2,Возможно просто старые петли на лифте шахты скрипят'? Ну за работу' Нет времени!,,,,,
story_conversation_game_start_mayor_line_1,Тебе виднее! Я умру если это не сработает! Ты слышишь? Умру!,,,,,
story_conversation_game_start_father_line_3,"Нам нужно наладить работу города', для начала.",,,,,
story_conversation_game_start_mayor_line_2,Распределяйте территорию для ресурсов людей и всё что им нужно!,,,,,
story_conversation_game_start_father_line_4,"Это слишком жестоко, мэм.",,,,,
story_conversation_game_start_mayor_line_3,Просто делайте это!,,,,,
,,,,,,
story_conversation_engineer_tier_father_line_1,"Для того чтобы запустить шахту', нам нужны Инженеры.",,,,,
story_conversation_engineer_tier_core_line_1,Но есть еще много неизвестных вещей которые необходимо преодолеть прежде чем мы сможем достичь уровня старых технологий потеряных в глубине.,,,,,
story_conversation_engineer_tier_daughter_line_1,"Ты имеешь в виду что есть вещи о которых ты не знаешь? Ну, это сюрприз!",,,,,
story_conversation_engineer_tier_core_line_2,Очаровательно. Маловероятно что у вас могут возникнуть другие вопросы на которые я не имею ответа.,,,,,
story_conversation_engineer_tier_daughter_line_2,"Что ж, если это так. Я слышу этот странный звук с тех пор, как мы приехали сюда. Почти как грустная песня. Ты знаешь что это может быть?",,,,,
story_conversation_engineer_tier_core_line_3,Это подтверждает мои подозрения. Вы можете услышать это.,,,,,
story_conversation_engineer_tier_daughter_line_3,Так что ты тоже это слышишь?,,,,,
story_conversation_engineer_tier_core_line_4,"Нет, я не слышу. Но я чувствую это.",,,,,
story_conversation_engineer_tier_daughter_line_4,Что же это такое?,,,,,
story_conversation_engineer_tier_core_line_5,Город существовавший здесь полностью зависел от технологии которая обеспечивала его энергией. Все эти технологии реагировали на один и тот же управляющий сигнал. Старый сигнал. Который вы сейчас слышите.,,,,,
,,,,,,
story_conversation_train_station_repair_father_line_1,"Когда старушка снова будет на ходу' мы сможем переправлять грузы гораздо легче.",,,,,
story_conversation_train_station_repair_mayor_line_1,"Подожди, что это?",,,,,
story_conversation_train_station_repair_father_line_2,Посмотри-ка сюда. Кто-то прятался' там в тени!,,,,,
story_conversation_train_station_repair_trader_line_1,О нет. Не прятался! Спал. Поезд прибывает. Здравствуйте!,,,,,
story_conversation_train_station_repair_mayor_line_2,Это ещё один ржавый бот! Я могу попросить своего силовика вышвырнуть его!,,,,,
story_conversation_train_station_repair_cowboy_line_1,Ага.,,,,,
story_conversation_train_station_repair_father_line_3,"Мэм, так нельзя обращаться с незнакомцем! Мы рады встрече с вами.",,,,,
story_conversation_train_station_repair_trader_line_2,Я не хочу быть незнакомцем. Я торговец. Вот что я умею. Я думаю. Я могу контролировать всю вашу торговлю. Поезд слушается только меня.,,,,,
story_conversation_train_station_repair_father_line_4,"Это звучит очень полезно, партнер! Добро пожаловать на борт!",,,,,
story_conversation_train_station_repair_trader_line_3,Я присоединюсь. Грохот земли пугает меня. Почему я не могу вспомнить?,,,,,
,,,,,,
story_conversation_mine_level_1_father_line_1,Хорошо! Мы сделали это. Мы должны оборудовать помещения для наших шахтеров и начать копать'. Я чувствую что это место дрожит' всё. Лучше будем копать медленно.,,,,,
story_conversation_mine_level_1_core_line_1,Действительно. Планета становится все более нестабильной с каждым мгновением. Действуйте с осторожностью.,,,,,
story_conversation_mine_level_1_father_line_2,И когда мы найдем эту технологию которая нам нужна? Ты считаешь что моя дочь сможет её починить?,,,,,
story_conversation_mine_level_1_core_2,"Контроль над Старым Сигналом был передан потомкам тем кто здесь жил. И по воле случая именно твоей дочери был дарован этот важнейший дар.",,,,,
story_conversation_mine_level_1_father_line_3,"Никогда не сомневался что она была особенной. Нам лучше пойти и получить любую часть технологии которую мы сможем найти. Она будет где-то там, в темноте.",,,,,
,,,,,,
story_conversation_unearth_1_core_line_1,"Торопитесь. Принесите его в город и давайте его установим! Первая из многих, но мы должны с чего-то начать.",,,,,
story_conversation_unearth_1_father_line_1,Неизвестно что произойдет когда мы начнем двигать эту штуку.,,,,,
story_conversation_unearth_1_trader_line_1,"Когда она дрожит, они слышат. Вы должны быть готовы. Мы не были готовы в прошлый раз...",,,,,
story_conversation_unearth_1_father_line_2,Кто слышит это? Это то к чему я не был готов?,,,,,
story_conversation_unearth_1_static_line_1,*Шум*,,,,,
story_conversation_unearth_1_daughter_line_1,Я не уверена о чем говорит этот старый ржавый бот но теперь этот звук звучит громче. Оно просит меня подойти ближе...,,,,,
story_conversation_unearth_1_daughter_trance_line_1,НОВЫЕ ПОСТУПЛЕНИЯ. Судно для побега. Разрушенный. Шесть частей. Долго не обслуживали. Найдите оставшиеся детали. Объедините. Запустите.,,,,,
story_conversation_unearth_1_father_line_3,Что происходит черт возьми!?,,,,,
story_conversation_unearth_1_core_line_2,Старый сигнал говорит.,,,,,
story_conversation_unearth_1_father_line_4,Ты уверен что с ней все будет хорошо?,,,,,
story_conversation_unearth_1_core_line_3,Твоя дочь впорядке - ей нужно немного времени для перезарядки. Сейчас важно то что мы знаем что мы должны делать. Восстановить оставшиеся пять частей судна и собрать его вместе чтобы мы могли сбежать.,,,,,
story_conversation_unearth_1_trader_line_2,Я помню этот голос. Он очень старый.,,,,,
,,,,,,
story_conversation_unearth_2_static_line_1,*Static*,,,,,
story_conversation_unearth_2_core_line_1,"Clear your mind, little friend. Hear the Old Signal.",,,,,
story_conversation_unearth_2_daughter_trance_line_1,PLANNING. Reach the stars. Escape. ABORT. Missing data.,,,,,
story_conversation_unearth_2_daughter_line_1,Sounds like they didn't make it.,,,,,
story_conversation_unearth_2_core_line_2,Another piece of the vessel is found. That is all that matters.,,,,,
story_conversation_unearth_2_daughter_line_2,Yikes. I feel a bit dizzy. Channeling that voice sure takes it out of you.,,,,,
story_conversation_unearth_2_core_line_3,Everything is proceeding exactly as it should. Exactly as I planned.,,,,,
,,,,,,
story_conversation_area_unlock_mayor_line_1,The city is getting cramped . We must expand. Get it done!,,,,,
story_conversation_area_unlock_father_line_1,"We'll need more space for factories. And more importantly, homes.",,,,,
story_conversation_area_unlock_trader_line_1,There used to be so many homes here. Now there is just sand. Wonder where it all went...,,,,,
